sourcedb|sourcedb_version|method|labnr|c14age|c14std|c13val|site|sitetype|feature|period|culture|material|species|country|lat|lon|shortref|comment
Kaufmann 2007|2007|C14|Erl-8094|5580|65|-24,3|Eilsleben|Siedlung|Grube 23/87|Neolithikum|Älterer Abschnitt „Epi-Rössen / Epi-Lengyel mitteldeutscher Prägung“ / Lokalfazies Eilsleben|Getreide||Germany|||Kaufmann 2007, 370|Lkr. Börde, Landesmus.Vorgesch. Halle HK 93:576h (unpubl.)
Kaufmann 2007|2007|C14|Erl-8095|5623|64|-23,9|Eilsleben|Siedlung|Grube 23/87|Neolithikum|Älterer Abschnitt „Epi-Rössen / Epi-Lengyel mitteldeutscher Prägung“ / Lokalfazies Eilsleben|Getreide||Germany|||Kaufmann 2007, 371|Lkr. Börde, Landesmus. Vorgesch. Halle HK 99:3631 a (unpubl.)
Kaufmann 2007|2007|C14|Erl-8096|5556|62|-24,3|Eilsleben|Siedlung|Grube 24/87|Neolithikum|Älterer Abschnitt „Epi-Rössen / Epi-Lengyel mitteldeutscher Prägung“ / Lokalfazies Eilsleben|Getreide||Germany|||Kaufmann 2007, 371|Lkr. Börde, Landesmus. Vorgesch. Halle HK 99:3632 (unpubl.)
Kaufmann 2007|2007|C14|Bln-231|5360|160||Kmehlen|Siedlung|Grube|Neolithikum|Älterer Abschnitt „Epi-Rössen / Epi-Lengyel mitteldeutscher Prägung“ / Lokalfazies Priestewitz-Kmehlen|Getreide||Germany|||Kaufmann 2007, 371|"Kr. Riesa-Großenhain, Landesmus. Vorgesch. Dresden S.: 257-259/67  (Baumann/ Schultze-Motel 1968,
10-11 Abb. 4; Kaufmann 1995, 47-49 Abb. 3)"
Kaufmann 2007|2007|C14|Erl-8402|5305|58|-20,6|Gröna|Siedlung|Grube|Neolithikum|"Älterer Abschnitt des „Epi-Rössen / Epi-Lengyel“
mitteldeutscher Prägung“ / Lokalfazies von Gröna"|Knochen|Rind??|Germany|||Kaufmann 2007, 371|Lkr. Salzland, Landesmus. Vorgesch. Halle HK 70: 112 (Kaufmann/ Nitzschke 1976)
Kaufmann 2007|2007|C14|Erl-8403|5238|58|-21,3|Salzmünde-Schiepzig|Siedlung|Stelle 49, Grube A|Neolithikum|Schiepziger Gruppe|Knochen|Schaf/Ziege|Germany|||Kaufmann 2007, 371|Saalekreis, Landesmus. Vorgeschichte Halle HK 48:844m (Beran 1993, Taf. 33, 1-11)
Kaufmann 2007|2007|C14|Erl-8404|5152|61|-20,9|Salzmünde-Schiepzig|Siedlung|Stelle 22 (Grube)|Neolithikum|Schiepziger Gruppe|Knochen|Schwein|Germany|||Kaufmann 2007, 371|Saalekreis,  Landesmus. Vorgesch. Halle HK 38:211 c (Beran 1993, Taf. 34, 1-7) 
Kaufmann 2007|2007|C14|Erl-8405|5183|51|-20,9|Salzmünde-Schiepzig|Siedlung|Stelle 68|Neolithikum|Schiepziger Gruppe|Knochen|Rind??|Germany|||Kaufmann 2007, 371|Saalekreis, Landesmus. Vorgeschichte Halle HK 50:96i, (Beran 1993 Taf. 37, 1-14)
Kaufmann 2007|2007|C14|HD-19407|5129|35||Wulfen|Siedlung|Grube 2|Neolithikum|Jordansmühl|Knochen||Germany|||Kaufmann 2007, 371|Lkr. Anhalt-Bitterfeld, Mus. Köthen EK 23/44, A 86, Kaufmann 1995, 57-60 Abb. 7, Müller 2001, 244
Czerniak et al 2016|2016|C14|Poz-43553|5370|40||Bodzia 1|Siedlung|Animal bone from cellar pit A54 insidehouse|Neolithikum|Late Lengyel II B|Knochen||Poland|||Czerniak 2016|"Czerniak unpublished
report for National
Heritage Board of
Poland"
